fac_id,facility_name,county,description,address1,fac_zip,main_site_name,latitude,longitude,fac_phone,web_site
7046,BronxCare Tiffany Medical and Pediatric Practice,Bronx,Diagnostic and Treatment Center Extension Clinic,853 Tiffany Street,10459,"BronxCare Dr. Martin Luther King, Jr. Health Center",40.817955,-73.89357,,
7117,Morris Heights at Walton Avenue,Bronx,Diagnostic and Treatment Center Extension Clinic,25 East 183rd Street,10453,Morris Heights Health Center,40.858597,-73.903175,,
1206,Clay Avenue Family Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1776 Clay Avenue,10457,"La Casa De Salud, Inc.",40.846165,-73.904655,9294877004,
9502,Cassena Kidney Care at Workmen's Circle,Bronx,Diagnostic and Treatment Center,3155 Grace Avenue,10469,,40.87442,-73.837212,7183041255,
7731,Soundview Dialysis Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1109 Rosedale Avenue,10472,Bronx Dialysis Center,40.82772,-73.86837,7188612334,
9364,Stevenson Family Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,731 White Plains Road,10473,Family Health Center of Harlem,40.821575,-73.858223,2126330800,
6752,Morris Heights Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,625 East 137th Street,10454,Morris Heights Health Center,40.805325,-73.915924,7187164400,
15851,Pelham Parkway Surgery Center,Bronx,Diagnostic and Treatment Center,1000 Pelham Parkway South,10461,,40.85675,-73.85967,7188842660,
10168,"Doctors United, Inc.",Bronx,Diagnostic and Treatment Center Extension Clinic,741 East 233rd Street,10466,Doctors United Inc,40.893177,-73.855682,,
9487,MMG - Via Verde,Bronx,Hospital Extension Clinic,730 Brook Avenue,10455,Montefiore Medical Center - Henry & Lucy Moses Div,40.819489,-73.912247,7184841247,
1205,Urban Health Plan,Bronx,Diagnostic and Treatment Center,1065 Southern Boulevard,10459,,40.824715,-73.892036,7189914833,https://www.urbanhealthplan.org/
8617,2021 Grand Concourse,Bronx,Diagnostic and Treatment Center Extension Clinic,2021 Grand Conourse,10453,Union Community Health Center,40.851776,-73.904449,7189609500,
6722,Columbus Center for Medical Rehabilitation,Bronx,Diagnostic and Treatment Center,1221 Jerome Avenue,10452,,40.836143,-73.922478,7185388343,
10311,Longwood Dialysis,Bronx,Diagnostic and Treatment Center Extension Clinic,931 Bruckner Boulevard,10459,Bronx Dialysis Center,40.818851,-73.892693,7183780921,
9745,Stevenson High School,Bronx,School Based Hospital Extension Clinic,1980 Lafayette Avenue,10473,Montefiore Medical Center - Henry & Lucy Moses Div,40.821344,-73.855673,7186964070,
6861,BronxCare Dental Services,Bronx,Diagnostic and Treatment Center Extension Clinic,1775 Grand Concourse,10453,"BronxCare Dr. Martin Luther King, Jr. Health Center",40.8465,-73.909653,7189018401,
9361,Franklin Women's Shelter,Bronx,Diagnostic and Treatment Center Extension Clinic,1122 Franklin Avenue,10456,Care For the Homeless,40.828342,-73.905624,3472694648,
9786,Montefiore Medical Center - Wellness Center at Port Morris,Bronx,Hospital Extension Clinic,804 East 138th Street,10454,Montefiore Medical Center - Henry & Lucy Moses Div,40.803387,-73.91041,,
5706,Methadone 1,Bronx,Hospital Extension Clinic,3550 Jerome Avenue,10467,Montefiore Medical Center - Henry & Lucy Moses Div,40.88406,-73.880089,7189204067,
1169,Montefiore Medical Center - Henry & Lucy Moses Div,Bronx,Hospital,111 East 210th Street,10467,,40.879951,-73.880562,7189202001,
4520,CenterLight Healthcare Diagnostic and Treatment Center,Bronx,Diagnostic and Treatment Center,2401 White Plains Road,10467,,40.861694,-73.867592,7189205910,
10042,Melrose Dialysis,Bronx,Diagnostic and Treatment Center Extension Clinic,459 East 149th Street,10455,Bronx Dialysis Center,40.815529,-73.915253,,
13980,FKC - St. Ann's Dialysis,Bronx,Diagnostic and Treatment Center Extension Clinic,794 St. Ann's Avenue,10467,FMS-Southern Manhattan Dialysis Center,40.81975,-73.910337,9145823092,
15618,BronxCare Pediatric Specialty Center,Bronx,Hospital Extension Clinic,"1685 Morris Avenue, 1st Floor",10456,BronxCare Hospital Center,40.84412,-73.9096,2127294169,
15823,The Bronx HS of Science- x445,Bronx,School Based Hospital Extension Clinic,75 W.205th Street,10468,Montefiore Medical Center - Henry & Lucy Moses Div,40.878,-73.89151,7186964070,
6606,The Institute for Family Health at Westchester Square,Bronx,Diagnostic and Treatment Center Extension Clinic,1420 Ferris Place,10461,Family Health Center of Harlem,40.839302,-73.841347,7185973400,
6899,Center for Radiation Therapy,Bronx,Hospital Extension Clinic,1617 Poplar Street,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.845497,-73.846916,7184058550,
5702,Mosholu Avenue Primary Care Center,Bronx,Hospital Extension Clinic,5626 Mosholu Avenue,10471,Montefiore Medical Center - Henry & Lucy Moses Div,40.904621,-73.902298,7188844201,
15642,Mott Haven Family Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,427 Grand Concourse,10451,Damian Family Care Center,40.81683,-73.92824,7186571100,
9911,Ramon Velez Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,754 East 151st Street,10459,"La Casa De Salud, Inc.",40.814598,-73.907143,,
13976,Bronx Treatment Center,Bronx,Diagnostic and Treatment Center,1250 Shakespeare Avenue,10452,,40.838428,-73.92278,,
9266,CHN - Tremont,Bronx,Diagnostic and Treatment Center Extension Clinic,1880 Bathgate Avenue,10457,Community Healthcare Network,40.84628,-73.89723,7182945891,
8538,Sun River Health Inwood,Bronx,Diagnostic and Treatment Center Extension Clinic,1543-1545 Inwood Avenue,10452,Sun River Health,40.84412,-73.916435,7182991777,
9801,Union Community Health Center Comprehensive Family Dentistry,Bronx,Diagnostic and Treatment Center Extension Clinic,2101 Quarry Road,10457,Union Community Health Center,40.851963,-73.891558,,
9273,Mott Haven Campus,Bronx,School Based Hospital Extension Clinic,730 Concourse Village West,10451,Montefiore Medical Center - Henry & Lucy Moses Div,40.822781,-73.923477,7186964070,
10259,Burke Rehabilitation Outpatient Clinic-Hutch Metro,Bronx,Hospital Extension Clinic,1250 Waters Place,10461,Winifred Masterson Burke Rehabilitation Hospital,40.853553,-73.837368,,
10106,Health Center at Gunhill,Bronx,Diagnostic and Treatment Center Extension Clinic,1012 East Gunhill Road,10469,Morrisania Diagnostic & Treatment Center,40.874581,-73.857873,,
15679,Bronx Treatment Center - Mobile Health Unit #2,Bronx,Mobile Diagnostic and Treatment Center Extension Clinic,1250 Shakespeare Avenue,10452,Bronx Treatment Center,40.83845,-73.92295,6466098377,
10411,Bronxchester Home Training,Bronx,Diagnostic and Treatment Center Extension Clinic,34 Marconi Street,10461,Bronx Dialysis Center,40.84792,-73.842709,9292865280,
4653,PS 55 & Mott Hall III,Bronx,School Based Hospital Extension Clinic,450 St Paul's Place,10456,Montefiore Medical Center - Henry & Lucy Moses Div,40.836246,-73.904633,7189206062,
15302,Sun River Health Care,Bronx,Diagnostic and Treatment Center Extension Clinic,820 St. Ann's Avenue,10456,Sun River Health,40.82108,-73.90973,9732612135,
6486,STD Center,Bronx,Hospital Extension Clinic,3230 Bainbridge Avenue,10467,Montefiore Medical Center - Henry & Lucy Moses Div,40.876602,-73.879616,7188825482,
9384,Morrisania Dialysis Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1160 Teller Avenue,10456,"Newtown Dialysis Center, Inc",40.831406,-73.912041,7182931500,
10114,Bronx Health Center,Bronx,Diagnostic and Treatment Center,253 East 142nd Street,10451,,40.81473,-73.924967,7189977100,
4801,Montefiore Dental Center@Bronx Muni Hosp,Bronx,Hospital Extension Clinic,Pelham Parkway South & Eastchester Rd,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.857151,-73.843781,7189183422,
1193,Comprehensive Health Care Center,Bronx,Hospital Extension Clinic,301-305 East 161st Street,10451,Montefiore Medical Center - Henry & Lucy Moses Div,40.825314,-73.917442,7189206062,
6514,Walton High Campus,Bronx,School Based Hospital Extension Clinic,2780 Reservoir Avenue,10468,Montefiore Medical Center - Henry & Lucy Moses Div,40.870598,-73.897911,7183647400,
10314,Cassena Kidney Care at Morningside,Bronx,Diagnostic and Treatment Center,1000 Pelham Parkway South,10461,,40.856526,-73.85951,7189046518,
13981,Triborough Ambulatory Surgery Center,Bronx,Diagnostic and Treatment Center,550 East 180th Street,10457,,40.850361,-73.893525,7182530000,
15636,Fresenius Kidney Care - Webster Avenue Dialysis,Bronx,Diagnostic and Treatment Center Extension Clinic,3160 Webster Avenue,10467,FMS-Southern Manhattan Dialysis Center,40.87244,-73.87522,2123486637,
5796,P S 8,Bronx,School Based Hospital Extension Clinic,3010 Briggs Avenue,10458,Montefiore Medical Center - Henry & Lucy Moses Div,40.87252,-73.883621,,
3987,Fordham-Tremont Comm Mntl Health Center,Bronx,Hospital Extension Clinic,1900 Crotona Parkway,10460,SBH Health System,40.840729,-73.885582,7185421906,
15608,Bronx Treatment Center,Bronx,Diagnostic and Treatment Center Extension Clinic,899 Westchester Avenue,10459,Bronx Treatment Center,40.82075,-73.89989,6466098377,
7782,Fordham Tremont Comm Mentl Health Center,Bronx,Hospital Extension Clinic,817 East 180th Street,10460,SBH Health System,40.846352,-73.885063,,
9834,Williamsbridge Dialysis Center,Bronx,Diagnostic and Treatment Center Extension Clinic,"3525 White Plains Road, Suite B",10467,Bronx Dialysis Center,40.878051,-73.866557,,
4625,Theodore Roosevelt High School,Bronx,School Based Hospital Extension Clinic,500 East Fordham Road,10458,Montefiore Medical Center - Henry & Lucy Moses Div,40.859848,-73.88813,7182205665,
9399,Peninsula Community Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1967 Turnbull Avenue,10473,Urban Health Plan,40.823139,-73.856194,3472183464,
6653,Morris Heights Health Center Mobile Van,Bronx,Diagnostic and Treatment Center Extension Clinic,3875 Ninth Avenue,10034,Morris Heights Health Center,40.863728,-73.916962,7187164400,
6148,Plaza Del Castillo Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1515 Southern Blvd,10460,Urban Health Plan,40.83395,-73.889984,,
9278,William Howard Taft High School,Bronx,School Based Hospital Extension Clinic,240 East 172nd Street,10457,Montefiore Medical Center - Henry & Lucy Moses Div,40.840389,-73.91098,7186964070,
7231,Claremont Family Health Care Center,Bronx,Diagnostic and Treatment Center Extension Clinic,264 East 174th Street,10457,"La Casa De Salud, Inc.",40.844604,-73.906052,,
6147,Bella Vista Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,890 Hunts Point Ave,10474,Urban Health Plan,40.81921,-73.889374,,
6704,Westchester Avenue Family Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,915 Westchester Avenue,10459,"La Casa De Salud, Inc.",40.82148,-73.898247,7184663545,
15661,CenterLight PACE Mobile Van 1,Bronx,Mobile Diagnostic and Treatment Center Extension Clinic,2515 Olinville Avenue,10467,CenterLight Healthcare Diagnostic and Treatment Center,40.86384,-73.86855,,
7125,Child Protection Center,Bronx,Hospital Extension Clinic,3314 Steuben Avenue,10467,Montefiore Medical Center - Henry & Lucy Moses Div,40.878609,-73.881218,,
4506,Metro Community Health Center Bronx,Bronx,Diagnostic and Treatment Center,979 Cross Bronx Expressway Service Road,10460,,40.838833,-73.882599,7186657565,
7047,Low Lead Clinic,Bronx,Hospital Extension Clinic,91 East Mosholu Parkway,10467,Montefiore Medical Center - Henry & Lucy Moses Div,40.878334,-73.882523,,
15552,Beth Abraham Center for Renal Dialysis,Bronx,Diagnostic and Treatment Center Extension Clinic,612 Allerton Avenue,10467,The Bronx Center for Renal Dialysis,40.86521,-73.87003,6462606630,
10434,Starling Health,Bronx,Diagnostic and Treatment Center,1480 East Avenue,10462,,40.83687,-73.85993,7183191610,
5795,The Marble Hill Family Practice Center,Bronx,Hospital Extension Clinic,5525 Broadway,10463,Montefiore Medical Center - Henry & Lucy Moses Div,40.877602,-73.905716,,
7607,Narco Freedom-Grand Concourse,Bronx,Diagnostic and Treatment Center Extension Clinic,250 Grand Concourse,10451,Narco Freedom Inc,40.813755,-73.929298,7182924451,
1207,Narco Freedom Inc,Bronx,Diagnostic and Treatment Center,479 Willis Avenue,10455,,40.814503,-73.919029,7182924640,
5756,Intermediate School 217 Entrada Academy & Charter School,Bronx,School Based Hospital Extension Clinic,977 Fox Street,10459,Montefiore Medical Center - Henry & Lucy Moses Div,40.822426,-73.893951,7185894844,
15647,Bronx Treatment Center,Bronx,Diagnostic and Treatment Center Extension Clinic,3991 White Plains Road,10466,Bronx Treatment Center,40.88847,-73.86032,,
1196,Comprehensive Fam Care Center,Bronx,Hospital Extension Clinic,1621 Eastchester Road,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.844967,-73.845665,7189206062,
8525,Evander Childs Campus,Bronx,School Based Hospital Extension Clinic,800 East Gun Hill Road,10467,Montefiore Medical Center - Henry & Lucy Moses Div,40.875938,-73.862068,,
9766,Montefiore North Broadway Dental Clinic,Bronx,Hospital Extension Clinic,5500 Broadway,10463,Montefiore Medical Center - Henry & Lucy Moses Div,40.876606,-73.905674,,
9883,The Children's Health Center of the New York Foundling,Bronx,Diagnostic and Treatment Center,170 Brown Place,10454,,40.806316,-73.920898,,
7118,Urban Horizons Family Practice,Bronx,Diagnostic and Treatment Center Extension Clinic,50-98 East 168th Street,10452,Family Health Center of Harlem,40.836559,-73.918968,,
10277,"Smile New York Outreach, LLC",Bronx,Diagnostic and Treatment Center,1808 Crotona Parkway,10460,,40.839259,-73.886083,8888331002,
7675,East Tremont Medical Center,Bronx,Diagnostic and Treatment Center Extension Clinic,930 East Tremont Avenue,10460,New York Neuro & Rehab Center,40.841633,-73.883591,7188601111,
6953,Advanced Endoscopy Center,Bronx,Diagnostic and Treatment Center,5500 Broadway,10463,,40.87698,-73.906044,7185487900,
15897,Montefiore Einstein Children's Center for Mental Health of the Children's Hospital at Montefiore Einstein,Bronx,Hospital,1300 Waters Place,10461,Montefiore Medical Center - Henry & Lucy Moses Div,,,7189204813,
4651,PS 105,Bronx,School Based Hospital Extension Clinic,725 Brady Avenue,10462,Montefiore Medical Center - Henry & Lucy Moses Div,40.852451,-73.866257,7189206062,
1462,Methadone Clinic III,Bronx,Hospital Extension Clinic,2058 Jerome Avenue,10453,Montefiore Medical Center - Henry & Lucy Moses Div,40.854176,-73.907028,7189202001,
5707,Dental Center at North Central Bronx Hospital,Bronx,Hospital Extension Clinic,3424 Kossuth Avenue,10467,Montefiore Medical Center - Henry & Lucy Moses Div,40.880512,-73.881538,7185193300,
318,Primary Care Network,Bronx,Hospital Extension Clinic,One Fordham Plaza,10458,Montefiore Medical Center - Henry & Lucy Moses Div,40.86064,-73.890228,7189332400,
1172,Lincoln Medical & Mental Health Center,Bronx,Hospital,234 East 149th Street,10451,,40.817661,-73.92421,7185795700,
4687,Dewitt Clinton High School,Bronx,School Based Hospital Extension Clinic,100 West Mosholu Parkway South,10468,Montefiore Medical Center - Henry & Lucy Moses Div,40.88179,-73.886765,7185978500,
9091,Bronx Health Collective,Bronx,Hospital Extension Clinic,853 Longwood Avenue,10459,Montefiore Medical Center - Henry & Lucy Moses Div,40.819115,-73.900787,,
1416,Community Healthcare Network,Bronx,Diagnostic and Treatment Center,1002 Westchester Ave,10459,,40.82359,-73.89353,2123664500,
9000,Care For the Homeless,Bronx,Diagnostic and Treatment Center,1911-1921 Jerome Avenue,10453,,40.850643,-73.910332,,
9458,Morris Heights Center 233rd Street,Bronx,Diagnostic and Treatment Center Extension Clinic,825 East 233rd Street,10466,Morris Heights Health Center,40.892262,-73.853622,7184831208,
15689,SBH Health System Portable School Based Dental Equipment,Bronx,School Based Hospital Extension Clinic,4422 Third Avenue,10457,SBH Health System,40.85329,-73.89143,7189606498,
9750,Montefiore Hutchinson Campus,Bronx,Hospital Extension Clinic,1250 Waters Place,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.852561,-73.839535,,
6127,Third Avenue Imaging LLC,Bronx,Diagnostic and Treatment Center,2781 Third Ave,10455,,40.814968,-73.919823,7187420700,
10020,Sun River Health The Hub,Bronx,Diagnostic and Treatment Center Extension Clinic,459 East 149th Street,10455,Sun River Health,40.815529,-73.915253,,
4652,PS 85,Bronx,School Based Hospital Extension Clinic,2400 Marion Ave,10458,Montefiore Medical Center - Henry & Lucy Moses Div,40.858891,-73.895042,7189206062,
15708,Moses Medical,Bronx,Diagnostic and Treatment Center,871 Westchester Avenue,10459,,40.82046,-73.90045,7185755414,
8556,"Montefiore Medical Center-Moses/Mobile Van #1,#2,#3,& #4",Bronx,Hospital Extension Clinic,111 East 210th Street,10467,Montefiore Medical Center - Henry & Lucy Moses Div,40.879951,-73.880562,2125359779,
13971,AIDS Healthcare Foundation,Bronx,Diagnostic and Treatment Center,655 Morris Avenue,10451,,40.819989,-73.922155,,
9367,Jackson Avenue Family Residence,Bronx,Diagnostic and Treatment Center Extension Clinic,691 East 138th Street,10454,Care For the Homeless,40.805367,-73.913879,3472690437,
1188,Planned Parenthood Bronx Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,349 East 149th Street,10451,Planned Parenthood Joan Malin Brooklyn Health Center,40.816704,-73.919655,2129654806,
5703,Montefiore Radiology Ext Clinic,Bronx,Hospital Extension Clinic,1635 Poplar Street,10461,Montefiore Medical Center - Henry & Lucy Moses Div,40.845688,-73.846642,7184058440,
9430,St. Lawrence Community Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1764-1766 Westchester Avenue,10472,Urban Health Plan,40.831394,-73.867867,3474077166,
7025,BronxCare Medical and Dental at Poe,Bronx,Diagnostic and Treatment Center Extension Clinic,2432 Grand Concourse,10458,"BronxCare Dr. Martin Luther King, Jr. Health Center",40.860546,-73.897896,7188177903,
5741,Mount Hope Family Practice,Bronx,Diagnostic and Treatment Center Extension Clinic,130 West Tremont Avenue,10453,Family Health Center of Harlem,40.849964,-73.914368,7185839000,
7761,Park Avenue Family Health Center,Bronx,Diagnostic and Treatment Center Extension Clinic,4196 Park Avenue,10457,"La Casa De Salud, Inc.",40.847176,-73.8993,,
6767,BMS at Genesis,Bronx,Diagnostic and Treatment Center Extension Clinic,360 Snediker Avenue,11207,Brownsville Multi-Service Family Health Center,40.666336,-73.900291,6464599400,
9793,Eye Surgery Center of New York,Bronx,Diagnostic and Treatment Center,"3130 Grand Concourse, Suite B5",10458,,40.875186,-73.885819,,
10043,Bronx Medical and Wellness Center,Bronx,Diagnostic and Treatment Center Extension Clinic,1227 Edward L. Grant Highway,10452,Morris Heights Health Center,40.836543,-73.922493,,
