"status","spc_latin","spc_common","boroname","latitude","longitude"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84794708","-73.89338226"
"Alive","Acer rubrum","red maple","Bronx","40.85091786","-73.90356058"
"Alive","Quercus palustris","pin oak","Bronx","40.85677447","-73.89097861"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.87343706","-73.88088627"
"Alive","Ulmus americana","American elm","Bronx","40.84637583","-73.91763219"
"Alive","Ulmus americana","American elm","Bronx","40.84810623","-73.90688618"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85791814","-73.89340631"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.90339978","-73.84936673"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85392218","-73.9013742"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.86998754","-73.90162551"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85705393","-73.88745706"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.85153001","-73.89377521"
"Alive","Ulmus americana","American elm","Bronx","40.85811921","-73.9021878"
"Alive","Ulmus americana","American elm","Bronx","40.84983561","-73.90281035"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.8560007","-73.89284982"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85358319","-73.90149295"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85378584","-73.90142196"
"Alive","Acer platanoides","Norway maple","Bronx","40.84765784","-73.89371113"
"Alive","Acer platanoides","Norway maple","Bronx","40.83230633","-73.92817071"
"Alive","Acer platanoides","Norway maple","Bronx","40.87567747","-73.88153803"
"Alive","Acer platanoides","Norway maple","Bronx","40.85488535","-73.85369905"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85334856","-73.9015736"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85637186","-73.89088874"
"Alive","Ginkgo biloba","ginkgo","Bronx","40.85737328","-73.8926941"
"Alive","Acer platanoides","Norway maple","Bronx","40.85070575","-73.88695045"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.85805147","-73.88533325"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.84571911","-73.91819074"
"Alive","Quercus bicolor","swamp white oak","Bronx","40.85663542","-73.89013512"
"Alive","Quercus bicolor","swamp white oak","Bronx","40.85912362","-73.89424406"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.8494875","-73.89261605"
"Alive","Ginkgo biloba","ginkgo","Bronx","40.857482","-73.89295364"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84272939","-73.89970654"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85424737","-73.90126028"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85696595","-73.8875335"
"Alive","Chamaecyparis thyoides","Atlantic white cedar","Bronx","40.84754857","-73.89560728"
