"spc_common","spc_latin"
"honeylocust","Gleditsia triacanthos var. inermis"
"red maple","Acer rubrum"
"pin oak","Quercus palustris"
"London planetree","Platanus x acerifolia"
"American elm","Ulmus americana"
"Norway maple","Acer platanoides"
"ginkgo","Ginkgo biloba"
"swamp white oak","Quercus bicolor"
"Sophora","Styphnolobium japonicum"
"Atlantic white cedar","Chamaecyparis thyoides"
"white oak","Quercus alba"
"Callery pear","Pyrus calleryana"
"silver linden","Tilia tomentosa"
"Japanese zelkova","Zelkova serrata"
"sawtooth oak","Quercus acutissima"
"Kentucky yellowwood","Cladrastis kentukea"
"sweetgum","Liquidambar styraciflua"
"Douglas-fir","Pseudotsuga menziesii"
"crepe myrtle","Lagerstroemia"
"littleleaf linden","Tilia cordata"
"American linden","Tilia americana"
"eastern redcedar","Juniperus virginiana"
"silver maple","Acer saccharinum"
"northern red oak","Quercus rubra"
"Japanese tree lilac","Syringa reticulata"
"willow oak","Quercus phellos"
"Siberian elm","Ulmus pumila"
"hedge maple","Acer campestre"
"Chinese elm","Ulmus parvifolia"
"golden raintree","Koelreuteria paniculata"
"cherry","Prunus"
"Kentucky coffeetree","Gymnocladus dioicus"
"arborvitae","Thuja occidentalis"
"Oklahoma redbud","Cercis reniformis"
"green ash","Fraxinus pennsylvanica"
"crimson king maple","Acer platanoides 'Crimson King'"
"American hornbeam","Carpinus caroliniana"
"eastern cottonwood","Populus deltoides"
"Cornelian cherry","Cornus mas"
"horse chestnut","Aesculus hippocastanum"
"black cherry","Prunus serotina"
"hawthorn","Crataegus"
"black oak","Quercus velutina"
"river birch","Betula nigra"
"tulip-poplar","Liriodendron tulipifera"
"Schumard's oak","Quercus shumardii"
"tree of heaven","Ailanthus altissima"
"purple-leaf plum","Prunus cerasifera"
"sugar maple","Acer saccharum"
"magnolia","Magnolia"
"Norway spruce","Picea abies"
"'Schubert' chokecherry","Prunus virginiana"
"catalpa","Catalpa"
"empress tree","Paulownia tomentosa"
"crab apple","Malus"
"black locust","Robinia pseudoacacia"
"katsura tree","Cercidiphyllum japonicum"
"black walnut","Juglans nigra"
"Ohio buckeye","Aesculus glabra"
"American larch","Larix laricina"
"flowering dogwood","Cornus florida"
"mulberry","Morus"
"serviceberry","Amelanchier"
"bald cypress","Taxodium distichum"
"kousa dogwood","Cornus kousa"
"scarlet oak","Quercus coccinea"
"Amur maple","Acer ginnala"
"sycamore maple","Acer pseudoplatanus"
"common hackberry","Celtis occidentalis"
"eastern redbud","Cercis canadensis"
"dawn redwood","Metasequoia glyptostroboides"
"silver birch","Betula pendula"
"shingle oak","Quercus imbricaria"
"Japanese maple","Acer palmatum"
"Chinese fringetree","Chionanthus retusus"
"maple","Acer"
"English oak","Quercus robur"
"American beech","Fagus grandifolia"
"white ash","Fraxinus americana"
"red horse chestnut","Aesculus x carnea"
"tartar maple","Acer tataricum"
"cucumber magnolia","Magnolia acuminata"
"paperbark maple","Acer griseum"
"hardy rubber tree","Eucommia ulmoides"
"American hophornbeam","Ostrya virginiana"
"paper birch","Betula papyrifera"
"boxelder","Acer negundo"
"Amur maackia","Maackia amurensis"
"European hornbeam","Carpinus betulus"
"bigtooth aspen","Populus grandidentata"
"spruce","Picea"
"ash","Fraxinus"
"white pine","Pinus strobus"
"southern magnolia","Magnolia grandiflora"
"Persian ironwood","Parrotia persica"
"bur oak","Quercus macrocarpa"
"trident maple","Acer buergerianum"
"Chinese chestnut","Castanea mollissima"
"holly","Ilex"
"Turkish hazelnut","Corylus colurna"
"Japanese snowbell","Styrax japonicus"
"black maple","Acer nigrum"
"European alder","Alnus glutinosa"
"Amur cork tree","Phellodendron amurense"
"Chinese tree lilac","Syringa pekinensis"
"southern red oak","Quercus falcata"
"blackgum","Nyssa sylvatica"
"weeping willow","Salix babylonica"
"smoketree","Cotinus coggygria"
"blue spruce","Picea pungens"
"cockspur hawthorn","Crataegus crusgalli var. inermis"
"pond cypress","Taxodium ascendens"
"Japanese hornbeam","Carpinus japonica"
"eastern hemlock","Tsuga canadensis"
"quaking aspen","Populus tremuloides"
"sassafras","Sassafras albidum"
"two-winged silverbell","Halesia diptera"
"pine","Pinus"
"red pine","Pinus resinosa"
"Osage-orange","Maclura pomifera"
"European beech","Fagus sylvatica"
"pagoda dogwood","Cornus alternifolia"
"Scots pine","Pinus sylvestris"
"Atlas cedar","Cedrus atlantica"
"Virginia pine","Pinus virginiana"
"black pine","Pinus nigra"
"pignut hickory","Carya glabra"
"Shantung maple","Acer truncatum"
"Himalayan cedar","Cedrus deodara"
"mimosa","Albizia julibrissin"
"false cypress","Chamaecyparis pisifera"
"pitch pine","Pinus rigida"
NA,NA
