fac_id,facility_name,county,description,address1,fac_zip,main_site_name,latitude,longitude,fac_phone,web_site
1445,Harlem Hospital Center,New York,Hospital,506 Lenox Avenue,10037,,40.81435,-73.940506,2129391000,
1504,Foot Clinics of NY,New York,Diagnostic and Treatment Center,55 East 124 Street,10035,,,,2124108031,
10140,WCINYP at 53 Beekman,New York,Diagnostic and Treatment Center Extension Clinic,53 Beekman Street,10038,Weill Cornell Imaging at New York Presbyterian,40.709961,-74.005252,,
3282,Roberto Clemente Family Guidance Center,New York,Diagnostic and Treatment Center Extension Clinic,540 East 13th Street,10009,Gouverneur Diagnostic and Treatment Center,40.728966,-73.979195,2124778212,
5510,Lenox Hill Hosp Center for Mental Health,New York,Hospital Extension Clinic,1430 Second Avenue,10021,Lenox Hill Hospital,40.770443,-73.957077,2124343365,
1532,Center for Hearing and Communication,New York,Diagnostic and Treatment Center,50 Broadway,10004,,40.706612,-74.01255,9173057700,
6985,Thurgood Marshall Academy,New York,School Based Hospital Extension Clinic,200-214 West 135th Street,10030,New York-Presbyterian Hospital - New York Weill Cornell Center,40.815411,-73.944115,2123045209,
6029,Farrell Community Health Center,New York,Hospital Extension Clinic,610 West 158th Street,10032,New York-Presbyterian Hospital - New York Weill Cornell Center,40.834972,-73.945274,2125441867,
8567,Catherine M. Abate Health Center,New York,Diagnostic and Treatment Center Extension Clinic,255 East Houston Street,10002,Community Healthcare Network,40.72169,-73.98516,2124328493,
7717,NYU Langone Rivergate Transplant Clinic,New York,Hospital Extension Clinic,401 East 34th Street,10016,NYU Langone Hospitals,40.743725,-73.973213,,
7612,CHN - Helen B Atkinson Center,New York,Diagnostic and Treatment Center Extension Clinic,81 West 115th Street,10026,Community Healthcare Network,40.801132,-73.949532,2124260088,
15796,Westside Ambulatory Surgery Center,New York,Diagnostic and Treatment Center,450 West 31st Street,10001,,40.75221,-73.99972,6469302700,
10438,Ryan Health | Wadsworth,New York,Diagnostic and Treatment Center Extension Clinic,154 Wadsworth Avenue,10033,William F. Ryan Community Health Center,40.849744,-73.935213,,
1537,Washington Heights Health Center,New York,Diagnostic and Treatment Center Extension Clinic,600 West 168th St,10032,New York City Department of Health and Mental Hygiene,40.841106,-73.939987,2123045429,
9569,Avantus Upper East Side Dialysis Center,New York,Diagnostic and Treatment Center Extension Clinic,315 East 62nd Street,10128,Avantus Irving Place Dialysis Center,40.762226,-73.962227,7187156276,
438,The Children's Aid Society,New York,Diagnostic and Treatment Center Extension Clinic,14-32 West 118th Street,10026,The Children's Aid Society,40.802593,-73.947128,2129494379,
