SITEID,Tercile,Tercile_num,Borough,Borough_num,Main analysis,Influx_trees,Influx_trees_alrg,Influx_plat,Influx_que ,Influx_amb ,Influx_ulm ,Influx_pop,Influx_carya ,Influx_poa ,Influx_acer ,Influx_fagus ,Influx_bet ,Influx_frax ,NYCPS selection type,NYCCAS selection type,Replicates,Sampler_height_inches,Sampler_direction,Sampler_direction_num,Install date,Install time,Install notes,Remove date,Remove time,Remove notes,SITE_TYPE,NOTES,Longitude,Latitude,TRAFFACT,BLDGFACT,TRAFXBLDG,BUFF_DIST,distance,Sum_GrShr_300,Sum_BarErt_300,Sum_Water_300,Sum_build_300,Sum_Road_300,Sum_OthPv_300,tree2010_50,tree2010_100,tree2010_150,tree2010_200,tree2010_250,tree2010_300,tree2010_350,tree2010_400,tree2010_450,tree2010_500,tree2010_600,tree2010_700,tree2010_800,tree2010_900,tree2010_1000
2596,High,3,Brooklyn,2,1,8999,5510,629,3401,88,171,105,409,458,105,61,342,287,Random in tercile,Systematic,No,96,W,1,2/25/2013,3:45pm,,,,,Street,,-73.96837016,40.58572922,Norm,High,Norm-High,984.25,300,24,0,0,20,27,34,0.003032901759,0.01113506477,0.02352667618,0.04153247728,0.05544142022,0.07964412512,0.1031950922,0.1261227686,0.1471339463,0.1742598529,0.2283741834,0.2799395574,0.3254894868,0.3722346665,0.4340406057
2616,Med,2,Brooklyn,2,1,2942,1834,120,490,283,77,21,43,743,30,0,979,73,Random in tercile,Systematic,No,96,W,1,2/25/2013,3:00pm,,,,,Street,,-73.89589547,40.58540776,High,Norm,High-Norm,984.25,300,47,1,28,7,20,14,0.002032234312,0.008070350507,0.01669033472,0.02748065779,0.03684313865,0.04311126691,0.05072383151,0.05381342651,0.05479952759,0.05943361558,0.07445696581,0.1154803641,0.1607730559,0.1889160653,0.2200685126
2818,Med,2,Staten Island,4,1,4106,2252,184,1389,337,66,56,117,776,41,15,189,194,Ragweed pilot site,Systematic,No,96,W,1,3/1/2013,3:10pm,,,,,Street,,-74.18730457,40.58940337,Norm,Norm,Norm-Norm,984.25,300,49,1,5,11,9,33,0.0007275900674,0.00685786735,0.01598311677,0.02537103302,0.03778960367,0.0551730135,0.06791842351,0.08445732242,0.09901988133,0.1256653769,0.1557928523,0.1984206772,0.2375453057,0.2950183842,0.3475777869
2980,High,3,Staten Island,4,1,7283,3786,585,2183,82,115,93,246,268,82,55,213,213,Random in tercile,Systematic,No,101,W,1,3/2/2013,2:20pm,Height to avoid sign,,,,Street,,-74.10993219,40.59544835,Norm,Norm,Norm-Norm,984.25,300,27,1,1,16,5,15,0.002525776998,0.01389177407,0.02984458076,0.05701930332,0.09482294314,0.1471820318,0.2039907856,0.2608163943,0.3207938943,0.3931108216,0.5697996759,0.7944116075,1.071179391,1.35305757,1.663367533
3742,High,3,Brooklyn,2,1,5282,3755,1215,1626,260,68,36,140,390,171,47,312,140,Random in tercile,Systematic,No,96,W,1,2/25/2013,2:00pm,,,,,Street,,-73.92575199,40.60764139,High,Norm,High-Norm,984.25,300,20,1,0,30,13,37,0.0004286167094,0.002986740919,0.009841994287,0.02088403974,0.03243467502,0.05920682907,0.08021499258,0.09684602337,0.1080362328,0.1305419224,0.1675528898,0.2162276554,0.2712738376,0.3467875296,0.4361417211
4937,Med,2,Staten Island,4,1,5715,3861,457,2269,966,84,168,142,2049,42,32,389,278,Random in tercile,Systematic,No,96,W,1,3/2/2013,3:15pm,,,,,Street,,-74.18392925,40.63236018,Norm,Norm,Norm-Norm,984.25,300,56,0,2,3,10,44,0.000436554058,0.00201856184,0.007794983141,0.01707411333,0.02842787232,0.04303470781,0.05475784778,0.06511010949,0.07696698626,0.08687135601,0.1099428377,0.1497360811,0.1968509253,0.2630802269,0.3448910664
5007,Med,2,Brooklyn,2,1,5634,4169,2498,1054,130,70,43,87,260,43,0,184,189,Random in tercile,Systematic,No,99,W,1,2/25/2013,1:00pm,Actually b/w Ave H & Ave I (not Ave H & Ave J),,,,Street,,-73.92932892,40.6318512,High,Norm,High-Norm,984.25,300,12,0,0,31,31,42,0.001018626106,0.006199868826,0.01006261492,0.01717666612,0.03002686107,0.04750239622,0.06827615995,0.09089283935,0.1107869637,0.13744037,0.1834751759,0.2417853336,0.3199277191,0.4053383962,0.506874792
5390,Med,2,Staten Island,4,1,6478,3862,740,2061,147,190,103,147,326,92,27,299,201,Random in tercile,Systematic,No,88,W,1,3/2/2013,12:45pm,Lower height to avoid sign,,,,Street,,-74.07547648,40.63930422,Norm,High,Norm-High,984.25,300,8,0,11,27,24,47,0.001142977853,0.00531041085,0.01060826395,0.0172539512,0.0243438644,0.03494044201,0.04836430293,0.06142826962,0.07298033619,0.08781277725,0.1372688466,0.1994597481,0.2743211163,0.3472694953,0.4216180303
5531,Low,1,Staten Island,4,1,3262,2048,201,1335,126,42,23,107,149,23,14,173,131,Ragweed pilot,Purposeful,No,114,W,1,3/2/2013,12:10pm,Direction and height from exisiting housing from 2012 ragweed pilot,,,,Street,Staten Island Ferry Terminal,-74.07163473,40.64302601,Norm,Norm,Norm-Norm,984.25,300,0,0,82,11,12,29,0,0,0,0,0.0001419431505,0.001747585297,0.006610366986,0.0124383652,0.01727530305,0.0223583607,0.03263266065,0.05774548926,0.09537526882,0.1450726836,0.1938599318
6385,High,3,Brooklyn,2,1,8615,5138,1455,2322,53,141,77,171,306,130,24,460,359,Random in tercile,Systematic,No,96,W,1,2/19/2013,2:05pm,,,,,Street,,-73.98266551,40.65929578,High,High,High-High,984.25,300,7,0,0,49,24,25,0.0005612838098,0.004389138258,0.009656785719,0.02024185345,0.03605356058,0.05580640284,0.07609460892,0.1044669553,0.13055598,0.16123638,0.2472171305,0.3435791203,0.4843598745,0.6637514582,0.8738309423
